patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
RERE	8.539274461	9.154042848	9.101002019	8.85031443	8.611643913	8.636327815	7.780478199	8.640263884	8.992805119	8.495574115	8.711445965	8.997441588	9.201276929
RNF165	5.66263814	6.627456286	5.854166523	5.796962684	6.028633782	6.313856267	5.151674478	6.037074993	6.106813871	5.549625681	6.629972832	5.689668101	5.765443235
CD049690	5.536051462	5.650655659	5.454581056	5.467953454	5.267381923	5.693008057	5.248162761	5.599038358	5.401181344	5.323746734	5.475161725	5.576373942	5.499987423
BC033982	5.728543627	5.415170949	5.210206136	5.417599782	5.194902665	5.393030531	5.140049263	5.311279273	5.25724763	5.29154895	5.25445882	5.165726714	5.375493395
PHF7	5.645119367	5.892619435	6.068464158	5.781145222	5.807807673	5.90349702	5.721452276	5.760298033	5.762099743	5.476215725	7.034317352	6.06433678	6.143823133
CIDEA	5.335531525	8.380449386	6.558700113	6.94957064	6.682550489	6.543513184	6.373924894	5.813357873	5.461572607	5.752176137	6.405500857	6.068366655	5.8870256
PAPD4	7.840972502	8.385262434	8.56518112	8.399462579	8.083430126	7.944038179	7.445555521	8.283161857	7.939252339	7.746434926	7.469090561	8.602651443	7.925823032
AI082173	5.164086514	5.369350233	5.198842724	5.36305946	5.244550662	5.188843348	5.326621659	5.022112339	5.278722633	5.265761848	5.217015688	5.155230865	5.222783483
SLC17A3	5.704074861	5.587251065	5.439956825	5.484544194	5.671643959	5.634676027	5.671292167	5.512880454	5.602053454	5.603574405	5.649584838	5.641180059	5.591300066
SDS	7.029269933	6.571863493	6.821348327	6.493574268	7.533386886	7.452581595	6.801278432	6.117017665	6.444364775	6.750082719	6.720177033	8.327101897	7.456273398
ATP6V1C2	5.706693556	5.485769535	5.434101805	5.44141773	5.406492599	5.231444511	6.416853896	5.299604195	5.643224075	5.489083085	5.938845344	5.453390243	5.422433145
F3	5.57186161	6.227269135	5.896109272	5.516427059	6.268078758	5.864959628	5.994102826	6.520185743	5.973039373	5.642446331	6.195694937	7.35928975	6.14934469
FAM71C	5.414597869	5.326272441	5.678096828	5.408228941	5.510560395	5.434349863	5.500961506	5.407389652	5.438183508	5.348314323	5.264218797	5.331631541	5.283505071
AK055082	5.3129208	5.370149514	5.516955126	5.475125291	5.561526555	5.229822213	5.509523151	5.149566821	4.959595424	5.301118966	5.538674063	5.362594696	5.258292324
BU687559	5.401815551	5.241480098	5.361162604	5.321674724	5.14860856	5.141078445	5.30197515	5.2377188	5.255823767	5.544372258	5.370186335	5.233640646	5.401364089
LIN52	6.624296809	5.76774655	5.917298336	6.468191567	5.756597677	6.091424618	5.881740502	6.288635146	6.60145514	5.933861968	5.714789507	6.062905682	5.827176619
PCOTH	6.314349359	5.631223799	5.761718059	5.679461233	5.288409149	5.341352711	5.434185549	5.499353523	5.382339427	5.279908118	5.18665221	5.53600311	6.319603737
GRM1	5.606279644	5.423968927	5.232107324	5.274162363	5.308087095	5.386658692	5.391634886	5.198007008	5.239857582	5.362304113	5.167099789	5.296161615	5.309850584
FXN	6.336588902	6.098182715	6.168705743	6.260341094	6.029560764	5.794440192	5.854054576	5.995772053	6.079788738	6.660942551	6.897354697	6.230337981	6.354031211
SLC9A1	9.508506958	9.224751535	9.527893939	9.843043972	8.950903602	8.89108917	8.517396852	8.746735564	8.292847237	9.663811771	10.50332665	9.077922899	9.940138285
PML	6.70894016	7.619328304	7.552799013	6.165340909	6.740960382	6.405616899	6.740759315	6.209572775	6.672708733	6.84349414	8.540150764	6.612562046	6.70570602
CR749394	5.231309512	5.146527485	5.371908597	5.66533661	5.554425687	5.390111298	5.490790756	5.637593621	5.591236034	5.540296444	5.09731624	5.485431072	5.273889759
CD164	5.858864858	5.606648605	5.783660954	6.933175215	6.577021358	6.623512073	6.375656269	7.009439048	6.33768101	5.797684232	5.641962637	7.589484023	6.154831622
DB337918	5.281118681	5.486956316	5.438504197	5.443591953	5.552418426	5.244839104	5.501172309	5.339294007	5.513624962	5.390959545	5.229169882	5.447919447	5.407002221
MOBKL2A	6.993595943	6.975957057	7.832706208	7.067239113	6.535407751	6.858156079	6.814020034	6.750324044	6.534428018	6.970886704	7.625995254	7.464126998	7.170707338
HGC6.1.1	5.251641496	5.329010407	5.48200573	5.511604701	5.495426983	5.286263798	5.353146392	5.543344698	5.376283198	5.455015199	5.903429475	5.489083085	5.326905923
OR1J2	5.575845428	5.591841358	5.264297097	5.446997793	5.659728926	5.537749543	5.53684377	5.558845974	5.558848299	5.497201543	5.509718342	5.579215431	5.534068074
GNG5	8.138330585	8.162740353	7.993768096	8.28158282	8.587060089	8.344829739	8.691012248	9.070110601	8.368229126	7.798675118	6.9316826	8.906342608	8.598681789
TAF15	10.00460844	10.76539821	10.31215673	9.83566494	9.953441697	10.44397705	9.778555152	10.01514939	9.66079746	9.604197246	11.35579687	9.820046973	10.39340745
EXTL3	6.159244302	7.32225897	6.932936592	7.005344327	6.510279479	6.64478857	6.990415271	6.733077026	7.967295806	7.307435052	7.705168681	6.968467798	7.751485213
CNPY3	8.023293386	7.139623382	7.178856625	7.05405666	6.521980683	6.970957168	7.425675504	6.966011332	7.303518917	6.986047179	5.993819105	8.080483019	7.035127296
C19orf24	7.64730733	8.248849765	7.603979586	7.853820793	7.408125853	7.316234148	7.701420261	7.181085177	7.317508849	8.204444624	7.736385942	7.921025863	7.95430702
GAS2L2	5.490058687	5.34327	5.39922368	5.622026972	5.641511801	5.665910404	5.761481842	5.831533112	5.716188012	5.393173405	5.760782805	5.762334408	5.755797892
AA913006	5.280879457	5.472379198	5.417952104	5.313820187	5.307132659	5.328404512	5.424526168	5.295446258	5.44719115	5.561828753	5.416505118	5.3718035	5.442179656
C21orf33	8.843645372	7.419772927	7.620119599	7.931941272	7.693990705	7.520482651	7.500206163	8.177283146	7.508184961	7.683051666	7.438962312	7.773610621	7.066976721
DA442494	5.094917403	5.306996085	5.362875474	5.325530326	5.325578476	5.413354635	5.478486212	5.341669709	5.411669467	5.272418679	5.059635669	5.302161471	5.340875506
P2RX1	5.502130506	5.92597149	5.972907587	5.628671327	5.845023217	5.764829818	5.717123615	5.683798656	5.641110595	5.808843524	5.613709718	6.44308262	5.487292807
CD515666	5.347555993	5.409676522	5.13508014	5.445623293	5.295470727	5.342091834	5.338817979	5.406864757	5.075538948	5.484036187	5.453950034	5.248997831	5.384831701
LRR1	7.664519343	7.46726335	7.777034067	7.851252506	8.745925047	7.862846936	8.882802459	7.711299948	9.076757856	7.775631687	7.380273875	7.819880006	7.406707914
ATP1B2	6.449092227	6.553750628	6.405303058	6.420459777	6.223364172	6.497386155	6.825310706	6.516864383	6.338568681	6.362045643	7.536660808	6.60145514	6.608029879
BM668203	5.317722823	5.218396734	5.451812909	5.355720689	5.345339693	5.233783964	5.439150632	5.48932966	5.475921979	5.488674526	5.465286396	5.419219072	5.291483317
UBLCP1	7.244696738	6.803298196	7.651639974	7.762429525	7.514247032	7.578904876	7.489548999	8.162583988	7.796815957	6.40412211	6.264119159	8.143437607	6.583194306
BG236224	5.44385693	5.215666915	5.307491059	5.382236275	5.563728307	5.361888586	5.27340326	5.289110294	5.496168105	5.521889571	5.193071116	5.382978829	5.332634337
ADAMTSL4	5.666212136	5.661534179	6.219597235	5.646900113	5.411228175	5.642953774	6.642682552	5.809600548	5.554514853	5.95154151	5.466450368	7.146051986	5.941183267
BX109195	5.420673036	5.105951498	5.406288359	5.267496465	5.607884801	5.255863131	5.286981546	5.324266987	5.324476253	5.291396674	5.650180249	5.468808182	5.480544144
IL28B	5.640653437	5.532032812	5.47765848	5.496315456	5.495391336	5.430548007	5.461109069	5.296452571	5.419788901	5.176706387	5.292218832	5.169127711	5.408067928
DES	5.353318192	5.398953785	5.405637372	5.490601752	5.515674537	5.17554625	5.411719045	5.284894276	5.32890913	5.380286099	5.35010161	5.420216366	5.395633592
HERC2P9	5.6408359	5.711665819	5.481383888	5.487776255	5.430245354	5.446067102	5.455883158	5.517964282	5.788414867	5.82952273	5.88380726	5.683515727	5.584598281
BC033582	5.43829647	5.484253329	5.353455978	5.139155587	5.607628379	5.250284841	5.325026266	5.467976189	5.429407758	5.629777291	5.53091235	5.483405264	5.529164041
PRR16	6.236549786	6.065978414	6.326201108	6.115318732	6.383013062	6.093999257	6.486407939	6.774005461	6.000368542	6.402368606	6.256579597	6.800735515	5.881685047
HIPK2	7.062633697	8.149537345	7.183779044	7.734787662	7.252826658	7.48765365	7.429545841	7.247055887	7.487321488	7.583689728	7.663419357	7.577533963	7.279604334
SHMT2	9.90410793	9.958220394	10.23802539	9.322102828	10.31243576	10.76214877	10.41160644	9.422472111	11.15984154	10.30252594	10.28819369	10.11695527	9.579942274
MRPS5	8.067155473	8.487851661	7.964146055	7.871346703	8.531505613	7.874548339	8.279122979	8.20557519	8.255955528	8.312123973	8.300518108	8.368104747	7.827706585
SNORD36C	5.59697838	6.069203466	5.965889729	5.790906735	6.682670407	6.974688864	5.61651648	5.87432072	6.341856157	5.204315071	6.342484723	6.548647868	6.303487607
CHRNA6	5.893990231	6.171704677	5.849888664	6.078666854	5.928137344	5.624049811	5.80553935	5.763446035	5.603346988	5.770581275	5.95154151	5.782169059	5.962893614
TBC1D22A	5.378410773	5.661443338	6.12489296	5.769522279	5.679963033	5.624960423	6.203500142	5.560112907	5.925326212	5.632599115	5.256454061	5.756622066	6.051766361
RPL35	11.55116932	11.59710766	11.41650143	11.25811221	11.59158572	11.85881274	11.57188014	12.59207729	11.5618579	11.54628852	10.34535452	11.47881393	10.60051479
AI251715	5.270206244	5.225864093	5.274333599	5.117293383	5.232640298	5.380342091	5.198202833	5.249985876	5.468340809	5.357638629	5.499115475	5.238059832	5.160711527
ST6GALNAC4	8.24225261	6.755307656	7.160458348	6.805508787	6.863221793	8.324320987	6.916973914	6.815444093	7.73393482	7.257399302	6.728510192	7.873356524	7.742474073
TM2D1	8.566411686	8.182450082	8.858006702	9.90735685	9.379570221	9.576522003	9.275691864	10.00332698	8.931329429	7.838041444	7.720475744	9.386073922	9.255903035
RASD2	7.205459123	6.020193866	6.570582528	6.071766728	6.661645779	6.62759136	10.00149945	6.443045183	7.489603719	6.344870892	8.272070641	6.368138376	7.209049357
BM987095	5.301705819	5.494916876	5.493790227	5.496333711	5.186669377	5.570494389	5.397456974	5.394831142	5.28042089	5.288555493	5.521424507	5.285993668	5.399329407
CD364315	5.38147585	5.369663753	5.57985844	5.422454686	5.435265565	5.494569532	5.38619022	5.434064887	5.24889198	5.395974098	5.25760729	5.475526313	5.312902238
UBE2DNL	5.517426832	5.197589597	5.430845937	5.113003214	5.517975783	5.41012864	5.48079356	5.399565025	5.374947418	5.289100482	5.180310361	5.42400888	5.593038428
TFAP2D	5.648317177	5.394902373	5.534924754	5.463443519	5.41198272	5.264075913	5.412056752	5.253518434	5.322513434	5.68984346	5.586844591	5.376989504	5.436887071
ITGA10	5.850396184	6.589493009	6.389183594	5.714534874	6.698509743	6.181921187	6.469729907	6.596762649	5.651491187	5.487775061	6.992430298	7.772574974	5.92627591
LYRM5	8.345814321	8.710186065	8.340504287	8.86301699	8.964656021	9.454665569	8.721677868	9.417637151	8.194569896	8.290881256	8.016232142	8.347489231	9.068037608
LPPR1	5.782895571	5.444556015	5.74473805	5.862682442	5.978839704	5.661449667	6.069370088	6.132960105	5.733816341	5.804677809	6.128619669	5.845663601	5.865570931
MARS2	6.474999655	6.263394267	6.257691558	6.256923634	6.393077566	6.20824988	6.7316286	6.311387806	6.139252082	5.752751489	5.638930759	5.951939083	6.063375315
MAGEC1	5.74214348	5.468333709	5.267920836	5.439182526	5.468468659	5.344279612	5.484524649	5.53292396	5.446698083	6.549429384	5.231465646	5.577288278	5.512188449
PDIA6	8.764497576	7.65016766	7.810844461	8.500510249	7.936570111	7.065542802	8.411141077	8.213828725	9.578638025	8.683025051	6.716487989	8.761573539	7.51328422
FLJ41130	5.417942459	5.309442704	5.762577394	5.709709446	5.594283067	5.469083418	5.924194796	5.548589177	5.566123046	5.563077805	5.373765954	5.581753001	5.48662371
SLC25A25	8.425756877	8.252749976	7.842621292	7.424920629	8.104732864	8.260691695	8.457175154	8.110838327	7.537103843	8.217564901	8.770433552	8.344944945	7.755962511
BX109285	5.447496683	5.200613366	5.324513999	5.514186533	5.289386564	5.395328458	5.445824093	5.348506059	5.518046737	5.612125853	5.404019375	5.574098598	5.240403198
AI979035	5.243665127	5.350329309	5.162148782	5.046730785	5.166751497	5.185739057	5.228595193	5.01892534	5.260622575	5.053371486	5.128376674	5.106703055	5.150137711
FGFBP2	5.279235388	5.843019635	5.854119954	5.807502601	5.352081005	5.751052144	8.37841534	5.560285783	5.454707879	5.368161535	5.503031179	5.817076652	5.506589307
LRRC23	5.620292292	6.110039873	5.494829446	6.219304237	5.358736809	5.740456735	5.405637365	5.570282431	6.254336545	6.556856618	5.879292981	5.340063682	5.756737973
PNCK	5.89519748	5.921357045	5.587495343	8.49443745	7.140431688	8.210175783	7.086672577	5.767315624	6.704025474	6.026459442	6.696733685	5.486621978	5.770091097
CA429570	5.471289546	5.51802632	5.473200352	5.472704361	5.41370815	5.356755264	5.555988471	5.425182506	5.392604258	5.441679517	5.364552531	5.526533793	5.644442351
RPS24	7.099183012	8.203575617	7.633233644	8.216482795	9.95397645	8.100920232	8.933636666	8.757081509	7.827071886	7.884605707	7.08999656	7.993020788	7.512789011
C14orf102	8.906491215	9.97088396	9.073895878	9.183690085	9.259627369	8.743607102	8.191538905	8.937198286	9.314666771	8.799351052	10.37797608	8.352025335	9.437023483
AA885282	5.366518088	5.471058737	5.391916862	5.116171761	5.512903844	5.319404923	5.165001491	5.414659375	5.212012414	5.290088179	5.294738899	5.249769046	5.536098972
GLT8D2	7.260191432	7.480063415	8.299268386	7.893636912	8.62257835	8.42711468	7.558732683	9.912786874	6.213706032	7.986372119	7.693857224	8.879754716	7.552593674
AW516315	5.207478529	5.218123732	5.270314763	5.282079189	5.130169989	5.084242899	5.224848091	5.192156975	4.974171426	5.449040475	5.657291609	5.393523857	5.210827673
IGM1	6.155800098	5.823394054	5.983121919	6.059288662	5.913062769	5.989311288	6.008012521	5.950945462	5.913641695	5.968361355	5.780749781	5.852262429	5.922712178
EFCAB4A	9.87231592	8.756098944	9.789552615	10.24106961	10.28029584	10.24581302	8.383414625	9.466692625	9.344633717	9.688087586	9.686657161	7.2747632	9.896056696
REEP3	6.353778669	5.719911456	5.848223041	6.221643931	5.868798344	5.659007088	6.087462233	6.069949546	5.90256408	5.43825124	5.376654884	6.001618746	5.750668469
ECI2	9.229509721	8.892583813	8.853909604	10.39269008	9.734089021	9.00901192	8.242974791	10.08070069	9.290527406	8.273929207	7.979762021	8.911397249	8.764722168
BTBD3	7.502893438	6.917436203	6.628652251	6.837357958	6.954345322	6.851388518	7.418598336	6.935576584	6.860765801	6.566914999	7.069023792	6.898969342	7.568060317
AI808614	5.345367841	5.413586688	4.885155056	5.329718265	5.156146075	5.188895485	5.305858693	5.253317424	5.510119429	5.457173916	5.163441816	5.235195272	5.665439481
RBM17	7.25501296	8.819105713	8.374945543	8.07393459	9.126432641	8.446985493	8.795812623	8.77794931	7.960792162	7.909243677	9.144322459	8.557806969	8.734650478
LOC339524	5.351470489	5.312591508	5.515991567	5.345778751	5.541058106	5.367734251	5.400659716	5.564694797	5.435504657	5.625100731	5.460768117	5.255716858	5.369094362
TRNAU1AP	5.572437573	6.096019779	5.923779678	6.113819411	5.822351529	6.18576546	6.06517191	6.047184052	5.912418539	5.807744486	6.448057704	6.174430132	5.804168787
IL21R	6.285932465	6.337681777	7.616096556	6.206952623	5.965218524	5.787009376	6.726176303	5.863235059	5.759702855	7.152758574	6.099151461	6.023716902	5.960086263
AK094525	5.325192377	5.336047893	5.29752485	5.583991437	5.191053314	5.432478187	5.326348374	5.27156943	5.079157792	5.349709212	5.591300066	5.437979689	5.45765934
RASSF4	6.792228416	7.13903912	7.975348777	6.008477893	6.720030731	6.615269355	7.916041985	6.628784846	6.283485175	7.153593096	6.900539218	8.175970165	6.943497482
BM676998	5.639173267	5.326959065	5.549674648	5.396142083	5.310981574	5.54378386	5.429191744	5.344032821	5.49297751	5.206711092	5.298679785	5.358418271	5.345218952
PLXNB2	9.164323123	9.561446934	9.503885168	9.35531767	8.7701181	9.444575353	10.16343075	8.877097752	10.19849195	10.36205878	9.909516142	9.856047686	10.45880166
OR8H2	5.246765639	5.172954563	5.255070491	5.250531253	4.911796109	5.187622873	5.183870877	5.090072743	4.836910635	5.146142241	5.348289277	5.15359378	4.999479328
ANTXR2	7.195936492	7.996985205	8.797559608	7.757934133	8.51461024	8.467415467	7.77642238	8.594352166	7.482296899	8.127586823	7.87491212	9.395520627	7.561961803
GALK2	7.838384394	5.712439328	6.0837715	6.001115336	5.717608278	5.774185429	6.069040722	6.484855754	5.894918013	7.114367723	5.614462524	6.334664718	5.611991805
BX100078	5.534422556	5.360227399	5.256860828	5.384070525	5.227748945	5.505574711	5.110611308	5.214954541	5.359223053	5.094093283	5.325621345	5.28573101	5.333597888
FAM90A13	5.621302581	5.430514196	5.470442811	5.526984233	5.225239449	5.369451031	5.210037959	5.310593938	5.364377934	5.370719332	5.330077928	5.519376359	5.478884799
C17orf37	7.834216251	6.060056784	7.130681222	6.569998624	6.175403578	7.738496806	6.404104974	6.180936501	6.144995889	7.096347985	6.663217191	6.261456379	6.7208814
TMEM59	11.07949249	11.30555467	11.41359441	12.11288241	11.55552051	11.75416998	11.66054884	11.98431807	11.75251707	11.09353248	10.74574764	10.87776245	12.52930429
BCAN	6.085316017	5.734246498	6.009784651	6.098886044	6.031607443	6.026049597	5.903800236	6.129014665	5.73222964	5.48588362	6.022619108	6.394602595	6.063137116
TXNDC11	7.247821946	7.43719099	7.290398798	7.118000433	7.347604301	7.024842362	7.104081442	6.835377641	7.220910519	7.819358022	7.144407125	7.213722228	7.666306668
DOCK2	8.45102805	8.72450819	10.247329	8.306370237	8.650765793	8.769688154	8.598550998	8.230963639	6.367209601	9.192993779	7.000812262	10.05338963	7.810600372
ARFIP1	7.945967544	8.240271042	7.849156601	8.44087019	8.364024569	8.146054969	8.449369299	8.86058732	8.170662689	7.662924276	7.486851977	7.971637879	8.236918471
LARGE	8.058763574	8.550395256	8.469990728	8.103162977	9.118232689	8.787569544	9.246192059	8.058115319	8.424502206	8.919217327	8.248024388	7.79161569	8.482559826
BE265648	5.362291721	5.534910504	5.379076732	5.674297685	5.339418112	5.522217385	5.443291409	5.395410565	5.16222112	5.946432092	5.453461254	5.543867584	5.349468367
PDXDC2P	7.648269235	7.578562522	7.622273361	7.374388509	7.267918916	7.708887514	6.306973474	6.723532191	6.835528593	6.917227111	8.600433062	7.175824873	8.313235487
RBMY1F	5.263314025	5.08405374	5.338988266	5.338090861	5.070642036	5.318151494	5.258635449	5.102577121	5.379522098	5.304495435	5.214610847	5.0759396	5.330259408
SLITRK3	5.381762672	5.509205874	5.488579907	5.468169274	5.205351599	5.198330688	5.296618076	5.459302541	5.335459774	5.412515203	5.269256029	5.539917127	5.506204355
ACMSD	6.238095896	6.011747878	6.218456421	6.012253734	6.554136603	6.170198906	6.23489088	6.249495427	5.93770106	6.221022735	5.94388465	6.134929401	6.09819303
KRT8	10.43643571	10.99788922	10.74820061	11.12061925	9.98898971	9.724368558	9.025334401	10.40238586	9.953893673	10.28424109	9.279494135	6.079022442	10.07299583
HIST2H2BF	6.276257574	5.625410167	5.666074522	5.972333032	5.616113114	5.537517044	5.421955904	5.515056055	5.502059264	5.323057524	5.459885816	5.555655485	5.291226982
AW299747	5.197745472	5.215768764	5.241234204	5.307190582	5.291035383	5.224382474	5.247246065	5.437229972	5.315261332	5.503106589	5.605869733	5.471285941	5.271341346
ADAMTS6	5.56767296	5.719812061	5.689668178	5.628654803	6.127124324	5.598485639	5.541002334	5.456531325	5.472979827	5.611065916	5.801643239	6.225945595	5.686756075
CREB3L2	9.406191221	9.15919164	9.737702895	9.829275196	9.098442227	9.315618625	10.6662128	9.137260335	9.102909074	10.39064251	9.788580369	9.378052454	8.805740355
PANX3	5.505284139	5.508769229	5.609599608	5.520228449	5.695721405	5.487974316	5.652923633	5.568459622	5.590239032	5.428672965	5.574079267	5.486472229	5.800951586
STATH	5.458717344	5.402124253	5.563832497	5.250456866	5.430755614	5.603110323	5.327305722	5.343413603	5.395736657	5.359010292	5.351799503	5.282247438	5.716782966
C6orf155	5.38585826	5.404504745	5.649132292	5.332589154	5.421737031	5.49808743	5.487571395	5.512497336	5.469669876	5.350312452	5.417768108	5.304206226	5.79339821
HERC2P7	5.454408246	5.455811405	5.167410366	5.74356565	5.485186567	5.436701376	5.338521158	5.490389369	5.583423429	5.241357261	5.272438481	5.386104486	5.340030719
CD52	8.75296495	10.21277427	11.09538215	9.273545659	9.309850591	9.528936836	8.145789478	9.899143769	7.065904126	10.73751699	6.763901039	12.6398709	7.299220772
SLC6A17	6.186869002	5.456588508	5.519717864	5.293229729	5.466001378	5.421499548	6.046697995	5.362168569	5.475669392	5.541482315	5.068402951	5.303310826	6.121110105
ARPC5	9.321554555	9.735440249	10.02287619	10.40776756	10.49600751	10.34070092	10.60344433	10.67368971	10.349701	9.309113601	9.430006149	11.00807135	9.950695172
GABRA2	5.418694772	5.467330667	5.462743068	5.274142006	5.424539213	5.659181298	5.640458781	5.495836902	5.276478396	5.399531108	5.405574854	5.404347875	5.280736632
BM665543	5.204650585	5.428074353	5.27599197	5.178671004	5.170361817	5.292832932	5.328539528	5.165245194	5.258292324	5.279322888	5.464327994	5.340210376	5.694430184
YIPF1	8.820177479	8.927574132	8.842156163	9.864732438	9.262914014	9.562039464	8.772269141	9.630549026	8.55565509	9.202333872	8.462742568	8.580029987	9.575953078
ZNF385A	7.899060902	6.840285946	7.526262068	6.81160549	6.63346669	7.358460709	6.260055962	6.133544386	6.174674511	7.001999598	6.800735515	8.268369244	6.955748847
F11	5.714874412	5.662376697	5.601270428	5.509400891	5.540092506	5.373964285	5.371096051	5.461025569	5.331452649	5.485264821	5.569225226	5.379114959	5.414284447
BM313460	5.260775868	5.291121334	5.294293518	5.335164369	5.209414013	5.5226007	5.346349063	5.353443728	5.306417687	5.227090767	5.086157221	5.375232074	5.519762581
DHX35	6.91269104	6.867517401	6.587597787	6.744567738	6.835439151	6.889733277	6.968333122	6.357386154	6.767750112	6.767013378	7.126752216	6.926254556	7.583689728
FUBP1	6.227688611	6.17682385	5.984482125	6.346186492	6.299024604	5.971247237	6.291725511	6.051493609	6.496326303	6.406142262	6.119609854	5.695414279	6.189466385
AA084299	5.336694383	5.41229142	5.498594628	5.2767039	5.467025558	5.515128529	5.303203547	5.428668676	5.327849872	5.536790644	5.408831652	5.337225811	5.292687907
AI205959	5.447373919	5.379534136	5.395380251	5.377484865	5.337030414	5.412141583	5.378494458	5.137323001	5.389523114	5.389454674	5.379079852	5.274641801	5.433346155
HIST1H1T	5.528849049	5.389285564	5.448360918	5.466698208	5.491490716	5.249812223	5.67789371	5.470684767	5.372557571	5.412432818	5.519786613	5.419929881	5.308230663
BX119689	5.584629933	5.181425802	5.421205693	5.444377344	5.34749086	4.949462332	5.499235583	5.229251943	5.436682048	5.516408455	5.57184833	5.436682048	5.089362696
SLC7A1	8.167902973	8.216436459	8.165242322	8.037354773	9.040065233	9.925736333	9.485652453	7.889307291	9.336664778	8.747291318	7.494331786	8.222381301	7.866059739
PRDM4	8.122172841	8.380900629	7.971448433	7.424005014	7.632076836	7.599386128	7.38592685	7.670627451	7.979224794	7.966212326	8.267746188	7.877541791	8.363610367
LILRB1	5.483624177	5.667337111	5.694160594	5.383614048	5.235468039	5.544758053	5.361299803	5.707770976	5.283546803	5.61353233	5.472482527	5.755873042	5.445584298
KIAA1109	5.610703656	5.495582401	5.435944126	5.286524404	5.261175537	5.496344957	5.480776259	5.651291795	5.6126597	5.692067773	5.532889036	5.539561792	5.396371935
AW205955	5.662095738	5.600546058	5.401193978	5.447928139	5.368023045	5.405752393	5.333047457	5.233094452	5.489652469	5.423327829	5.537011251	5.484144599	5.57103714
CR743578	5.546025878	5.699194163	5.278637219	5.895191835	5.5800065	5.669205183	5.559355354	5.695584358	5.580849282	5.363348718	5.471929295	5.505179695	5.495255148
BC038747	5.662555684	5.704708757	5.577324134	5.892568914	5.930309664	5.756143614	5.763502382	5.661534525	5.959492843	6.087423609	5.875588606	5.636364065	5.8026016
LOC142937	5.557590741	5.422099236	5.310494921	5.409733471	5.325710972	5.362303476	5.171659497	5.372810844	5.239108231	5.465710477	5.498891614	5.191368245	5.469021576
EPCAM	6.649524792	5.903400397	5.785185884	6.93300093	6.678456993	6.398738196	7.100224774	6.507215289	7.19850243	5.835161556	5.725223174	5.865662537	6.228245829
11-Sep	8.145937449	7.985338447	8.404567543	8.921211565	8.810141489	9.247220683	8.090024739	9.594096799	7.87015822	7.578475424	9.090256463	9.771554146	8.67623222
MCOLN3	5.581063075	6.070612758	5.794889014	5.461777522	5.79702463	5.839851725	5.966377449	5.838449396	5.70096193	5.985650882	7.233265707	6.876141485	6.136468863
HAUS3	5.562709494	5.799211205	5.531734284	5.377785158	5.590341146	5.597226561	5.395361559	5.61235473	5.463585925	5.468342608	5.709211053	5.398191081	5.776700352
AA830448	5.276640112	5.277984225	5.531192479	5.351838946	5.570548845	5.450962298	5.664018272	5.472629309	5.500279536	5.719396988	5.16704968	5.495066369	5.474695338
AX747287	5.686698277	5.561699294	5.797413366	5.475152613	5.721573324	5.453941601	5.542031845	5.612009135	5.416946824	5.913018478	5.748663994	5.455337281	5.74906509
MEIS2	6.229875195	6.368936291	6.732084218	6.020763607	6.42163495	6.850943144	6.163555788	7.520863936	5.733710008	7.144407125	6.933297746	6.792466448	6.209888601
MKI67	5.698953681	5.848485198	5.421443052	5.899755576	5.818171814	5.714170712	6.033919003	5.493802643	6.561517008	5.75190677	6.192732345	5.999816386	6.099667869
CD518619	5.317461368	5.310516738	5.382027614	5.254691565	5.314063281	5.483999469	5.185388534	5.393702954	5.412812504	5.398954879	5.202969055	5.502531978	5.187532215
BG760841	5.619795284	5.319123601	5.648185717	5.534012957	5.303472421	5.446911803	5.361453015	5.339241591	5.328256592	5.588685128	5.316569956	5.389917446	5.173539482
CISD1	9.086812857	9.303674735	9.125354861	9.123153845	10.21394707	10.00819246	9.754966499	10.40321566	9.876306892	8.871124091	8.037430631	9.573992419	8.697412465
LOC100500938	5.396889182	5.417702954	5.199735157	5.425309605	5.470883654	5.183911954	5.257090479	5.224003302	5.321667281	5.485620949	5.445152246	5.397314156	5.192769663
ZNF692	7.122949348	8.687649755	7.01463654	7.709793108	8.106115752	7.138137462	6.387321887	6.816161094	6.940309626	7.182539678	8.894197285	6.813543882	7.959145287
AL359560	5.360885473	7.271382863	7.725258902	5.796784377	6.263852252	6.276852648	5.986743626	6.783784948	6.526954986	6.957803162	7.707660656	7.304365133	6.293580166
RIPPLY2	5.383414648	5.41655056	5.314318931	5.380525722	5.32739887	5.453654772	5.40204244	5.176519989	5.634165537	5.437398851	5.479193118	5.354059881	5.572952195
AF092437	5.456384725	5.151846003	5.278327757	5.550943512	5.345260344	5.523606484	5.213166883	5.235646166	5.51561225	5.524116314	5.570228216	5.116244211	5.267228956
CEBPB	11.50609369	10.5585857	11.56995047	10.81652907	10.86642182	11.51923543	12.43580241	11.13949254	11.66422405	11.55886865	10.03049903	11.87854384	11.6462528
MEFV	5.464925033	5.439169588	5.573568936	5.160734906	5.464019181	5.530955252	5.548548147	5.447706629	5.362103828	5.30514949	5.57361502	5.487327582	5.631250389
