patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
AI769323	5.85228545	5.438405442	5.496026647	5.587835617	5.561946577	5.301969307	5.556496812	5.607944847	5.471964027	5.347749449	5.67152024	5.433114355	5.508248293
ACBD6	8.036340418	7.645772729	7.47336255	7.941008079	8.21450835	7.708661748	8.052250567	7.439816595	7.860398375	7.656517329	7.367817716	7.383001028	8.056208018
DEDD	8.214127912	8.882541818	8.332798474	8.777841715	8.811754062	8.805872953	8.473426809	8.293510399	8.337943512	8.688412359	9.038043189	8.337309129	9.303624638
FAM159B	5.314798845	5.278451358	5.336757058	5.274291936	5.320880174	5.167035583	5.401895654	5.287176557	5.194649168	5.577856929	5.581224539	5.351412739	5.226252485
AA767053	5.568223967	5.356733209	5.545899036	5.397010392	5.307222918	5.357203617	5.194561641	5.340593348	5.355597862	5.363893837	5.53786496	5.36199332	5.502714241
C9orf152	10.26699548	8.888727139	8.737242838	9.62249917	8.12243099	10.25720657	5.733718496	8.444991683	7.923731871	9.859712031	6.06433678	6.005518351	9.498942742
ZFAND2A	9.803334964	7.697388496	7.95657036	7.93800781	8.161301319	8.390414548	7.608651273	8.113856829	7.974905233	8.671732817	8.115486434	7.72536298	7.300443644
OR1L3	5.209419952	5.140773289	5.354681086	5.131803281	5.031814223	5.056192136	5.130511517	5.138794654	5.184924357	5.115864871	5.26971314	5.186705122	5.304826976
TTC6	5.333878946	5.8270699	5.518081858	5.560300318	5.783765108	5.322668814	5.31640919	5.233155012	5.189036567	5.383315908	5.695500093	5.234425286	5.793528082
FLJ33630	5.306765328	5.454323922	5.50803455	5.3310951	5.432243007	5.306711246	5.497752158	5.709408405	5.392685474	5.239334737	5.109960079	5.469336922	5.323205865
MAGI1	5.568753772	5.493384702	5.522163558	5.833199812	5.260991237	5.506206281	5.531257771	5.694352152	6.080766699	5.680790224	6.718438294	5.337530985	5.810059456
IL15	7.143802978	6.483571988	7.252470206	5.841305068	6.543020051	5.750379762	6.594082405	6.745060109	6.864950466	6.746403422	6.617816416	6.644720354	6.232494532
